sat_name,physical_channel,proxy_nickname,proxy_receive_time,server_receive_time,raw_data
DSLWP-B,13,KO4MA,2018-07-29 11:01:00.000,2018-07-29 22:16:34.649,BJ1SNI8680PDT
DSLWP-B,13,KO4MA,2018-07-29 11:21:00.000,2018-07-29 22:17:18.285,BJ1SNI86A0PDJ
DSLWP-B,13,KO4MA,2018-07-29 11:31:00.000,2018-07-29 22:17:44.494,BJ1SNI8670PD0
DSLWP-B,13,KO4MA,2018-07-29 11:11:00.000,2018-07-29 22:16:53.771,BJ1SNI86E0PDA
DSLWP-B,13,KO4MA,2018-07-29 11:41:00.000,2018-07-29 22:18:06.139,BJ1SNI86D0PDA
DSLWP-B,13,BG2BHC,2018-07-29 16:38:00.000,2018-07-29 16:39:06.112,TEST1
DSLWP-B,13,BY2HIT,2018-07-29 16:40:00.000,2018-07-29 16:42:20.339,TEST3
DSLWP-B,13,BG2BHC,2018-07-29 16:40:00.000,2018-07-29 16:40:47.551,TEST2
DSLWP-B,13,BG6LQV,2018-07-29 21:50:00.000,2018-07-29 21:53:05.520,TEST
DSLWP-B,13,test,2018-07-29 14:24:00.000,2018-07-29 14:24:51.953,test
DSLWP-B,13,W2RTV,2108-07-29 11:01:00.000,2018-07-30 02:12:19.863,BJ1SNI8680PDT
DSLWP-B,13,K4KDR,2018-07-16 01:11:00.000,2018-07-30 00:35:06.357,BJ1SNI86G2PD9
DSLWP-B,13,W2RTV,2018-07-28 11:11:00.000,2018-07-30 02:14:51.304,BJ1SNI86E0PDA
DSLWP-B,13,W2RTV,2018-07-28 11:21:00.000,2018-07-30 02:15:56.798,BJ1SNI86A0PDJ
DSLWP-B,13,W2RTV,2018-07-16 00:41:00.000,2018-07-30 02:20:14.825,BJ1SNJ8661PDA
DSLWP-B,13,KO4MA,2018-07-29 11:51:00.000,2018-07-29 22:18:32.690,BJ1SNI8660PDK
DSLWP-B,13,W2RTV,2018-07-16 00:20:00.000,2018-07-30 02:19:14.797,BJ1SNJ86A1PDJ
DSLWP-B,13,W2RTV,2018-07-16 00:30:00.000,2018-07-30 02:19:52.153,BJ1SNJ8681PDT
DSLWP-B,13,W2RTV,2018-07-16 00:10:00.000,2018-07-30 02:18:48.016,BJ1SNJ8691PD9
DSLWP-B,13,W2RTV,2018-07-16 00:51:00.000,2018-07-30 02:20:39.073,BJ1SNJ86A1PDK
DSLWP-B,13,W2RTV,2018-07-16 01:01:00.000,2018-07-30 02:21:21.524,BJ1SNJ86B1PDT
DSLWP-B,13,W2RTV,2018-07-16 01:11:00.000,2018-07-30 02:22:16.807,BJ1SNI86G2PD9
DSLWP-B,13,W2RTV,2018-07-16 01:21:00.000,2018-07-30 02:22:39.630,BJ1SNI86C2PDJ
DSLWP-B,13,W2RTV,2018-07-16 01:31:00.000,2018-07-30 02:23:02.183,BJ1SNI86A2PD0
DSLWP-B,13,W2RTV,2018-07-16 01:41:00.000,2018-07-30 02:23:26.086,BJ1SNI86C2PDA
DSLWP-B,13,W2RTV,2018-07-16 01:41:00.000,2018-07-30 02:23:42.991,BJ1SNI86D2PDJ
DSLWP-B,13,W2RTV,2018-06-30 14:41:00.000,2018-07-30 02:31:08.172,BJ1SNI86F0NE9
DSLWP-B,13,W2RTV,2018-07-16 01:05:00.000,2018-07-30 02:21:48.787,DK5LA TEST
DSLWP-B,13,YL3CT,2018-06-29 08:41:00.000,2018-07-30 05:15:20.033,BJ1SNJ86H0OA9
DSLWP-B,13,YL3CT,2018-06-29 08:51:00.000,2018-07-30 05:15:50.945,BJ1SNJ86E0OAK
DSLWP-B,13,YL3CT,2018-06-29 09:01:00.000,2018-07-30 05:16:36.553,BJ1SNJ86A0PAT
DSLWP-B,13,YL3CT,2018-06-29 08:30:00.000,2018-07-30 05:14:34.481,BJ1SNJ86G0OA0
DSLWP-B,13,VK5EI,2018-07-30 01:51:00.000,2018-07-30 04:26:45.605,BJ1SNI8680ODK
DSLWP-B,13,W2RTV,2018-06-30 14:40:00.000,2018-07-30 02:31:34.253,BJ1SNI86F0NE9
DSLWP-B,13,W2RTV,2018-07-01 15:30:00.000,2018-07-30 02:36:55.765,BJ1SNJ8680ODO
DSLWP-B,13,YL3CT,2018-06-29 08:20:00.000,2018-07-30 04:49:41.312,BJ1SNJ86L0OAK
DSLWP-B,13,YL3CT,2018-06-29 08:10:00.000,2018-07-30 04:46:46.542,BJ1SNJ86C0OA9
DSLWP-B,13,YL3CT,2018-06-29 09:11:00.000,2018-07-30 05:17:09.934,BJ1SNJ86H0PA9
DSLWP-B,13,YL3CT,2018-06-29 09:21:00.000,2018-07-30 05:17:49.183,BJ1SNJ86G0PAK
DSLWP-B,13,YL3CT,2018-06-29 09:31:00.000,2018-07-30 05:18:16.672,BJ1SNJ86E0PA0
DSLWP-B,13,YL3CT,2018-06-29 09:41:00.000,2018-07-30 05:18:44.574,BJ1SNJ86J0PAA
DSLWP-B,13,YL3CT,2018-06-29 09:51:00.000,2018-07-30 05:19:16.735,BJ1SNJ86G0PAK
DSLWP-B,13,YL3CT,2018-07-14 16:21:00.000,2018-07-30 05:20:33.544,BJ1SNJ8040PDK
DSLWP-B,13,YL3CT,2018-07-14 16:31:00.000,2018-07-30 05:21:09.753,BJ1SNJ8070PD0
DSLWP-B,13,YL3CT,2018-07-14 16:41:00.000,2018-07-30 05:21:36.614,BJ1SNJ8070PDA
DSLWP-B,13,YL3CT,2018-07-14 16:51:00.000,2018-07-30 05:22:07.404,BJ1SNJ8040PDK
DSLWP-B,13,BG6LQV,2018-07-29 00:51:00.000,2018-07-30 07:10:44.748,BJ1SNI8680PDK
DSLWP-B,13,BG6LQV,2018-07-29 00:51:00.000,2018-07-30 19:40:17.356,BJ1SNI8680PDK
DSLWP-B,13,BG6LQV,2018-07-29 00:51:00.000,2018-07-30 20:37:37.652,BJ1SNI8680PDK
DSLWP-B,13,BG6LQV,2018-07-29 00:51:00.000,2018-07-30 21:17:19.215,BJ1SNI8680PDK
DSLWP-B,13,BG6LQV,2018-07-29 00:52:00.000,2018-07-30 21:37:30.167,BJ1SNI8680PDK
DSLWP-B,13,PA0DLO,2018-07-14 23:30:00.000,2018-07-30 22:57:39.839,BJ1SNJ8670PDT
DSLWP-B,13,PA0DLO,2018-07-14 23:40:00.000,2018-07-30 22:58:45.047,BJ1SNJ86E0PDA
DSLWP-B,13,YL3CT,2018-07-14 17:01:00.000,2018-07-30 05:22:51.545,BJ1SNJ80B0PD0
DSLWP-B,13,YL3CT,2018-07-14 17:21:00.000,2018-07-30 05:23:43.915,BJ1SNJ8080PDK
DSLWP-B,13,PA0DLO,2018-07-14 23:51:00.000,2018-07-30 22:59:20.176,BJ1SNJ86D0PDK
DSLWP-B,13,PA0DLO,2018-07-15 00:41:00.000,2018-07-30 22:59:58.306,BJ1SNJ86A0PD9
DSLWP-B,13,PA0DLO,2018-07-15 00:51:00.000,2018-07-30 23:00:20.285,BJ1SNJ8670PDJ
DSLWP-B,13,PA0DLO,2018-07-16 00:41:00.000,2018-07-30 23:01:50.953,BJ1SNJ8661PDA
DSLWP-B,13,PA0DLO,2018-07-16 00:51:00.000,2018-07-30 23:02:12.661,BJ1SNJ86A1PDK
DSLWP-B,13,PA0DLO,2018-07-16 01:01:00.000,2018-07-30 23:02:43.663,BJ1SNJ86B1PDT
DSLWP-B,13,PA0DLO,2018-07-16 00:20:00.000,2018-07-30 23:00:58.407,BJ1SNJ86A1PDJ
DSLWP-B,13,PA0DLO,2018-07-16 00:30:00.000,2018-07-30 23:01:24.088,BJ1SNJ8681PDT
DSLWP-B,13,PA0DLO,2018-07-16 01:05:00.000,2018-07-30 23:03:11.000,DK5LA TEST
DSLWP-B,13,PA0DLO,2018-07-16 01:11:00.000,2018-07-30 23:03:33.250,BJ1SNI86G2PD9
DSLWP-B,13,PA0DLO,2018-07-16 01:21:00.000,2018-07-30 23:03:57.656,BJ1SNI86C2PDJ
DSLWP-B,13,PA0DLO,2018-07-16 01:31:00.000,2018-07-30 23:04:19.111,BJ1SNI86A2PD0
